index,addr,size,file_offset
702,0x803d4a76,46,0x3d4a76
703,0x803d4aa4,8,0x3d4aa4
704,0x803d4aac,4,0x3d4aac
705,0x803d4ab0,90,0x3d4ab0
706,0x803d4b0a,382,0x3d4b0a
707,0x803d4c88,324,0x3d4c88
708,0x803d4dcc,4,0x3d4dcc
709,0x803d4dd0,36,0x3d4dd0
710,0x803d4df4,12,0x3d4df4
711,0x803d4e00,2,0x3d4e00
712,0x803d4e02,12,0x3d4e02
713,0x803d4e0e,4,0x3d4e0e
714,0x803d4e12,6,0x3d4e12
715,0x803d4e18,10,0x3d4e18
716,0x803d4e22,4996,0x3d4e22
717,0x803d61a6,4,0x3d61a6
718,0x803d61aa,2,0x3d61aa
719,0x803d61ac,2,0x3d61ac
720,0x803d61ae,2,0x3d61ae
721,0x803d61b0,6,0x3d61b0
722,0x803d61b6,2,0x3d61b6
723,0x803d61b8,4,0x3d61b8
724,0x803d61bc,12,0x3d61bc
725,0x803d61c8,1880,0x3d61c8
726,0x803d6920,514,0x3d6920
727,0x803d6b22,4,0x3d6b22
728,0x803d6b26,60,0x3d6b26
729,0x803d6b62,44,0x3d6b62
730,0x803d6b8e,36,0x3d6b8e
